cell,group in,group out,nuclide,mean,std. dev.
4,4,68,total,0.0,0.0
4,4,69,total,0.0,0.0
4,4,70,total,0.0,0.0
4,4,71,total,0.0,0.0
4,4,72,total,0.0,0.0
4,4,73,total,0.0,0.0
4,4,74,total,0.0,0.0
4,4,75,total,0.0,0.0
4,4,76,total,0.0,0.0
4,4,77,total,0.0,0.0
4,4,78,total,0.0,0.0
4,4,79,total,0.0,0.0
4,4,80,total,0.0,0.0
4,4,81,total,0.0,0.0
4,4,82,total,0.0,0.0
4,4,83,total,0.0,0.0
4,4,84,total,0.0,0.0
4,4,85,total,0.0,0.0
4,4,86,total,0.0,0.0
4,4,87,total,0.0,0.0
4,4,88,total,0.0,0.0
4,4,89,total,0.0,0.0
4,4,90,total,0.0,0.0
4,4,91,total,0.0,0.0
4,4,92,total,0.0,0.0
4,4,93,total,0.0,0.0
4,4,94,total,0.0,0.0
4,4,95,total,0.0,0.0
4,4,96,total,0.0,0.0
4,4,97,total,0.0,0.0
4,4,98,total,0.0,0.0
4,4,99,total,0.0,0.0
4,4,100,total,0.0,0.0
4,4,101,total,0.0,0.0
4,4,102,total,0.0,0.0
4,4,103,total,0.0,0.0
4,4,104,total,0.0,0.0
4,4,105,total,0.0,0.0
4,4,106,total,0.0,0.0
4,4,107,total,0.0,0.0
4,4,108,total,0.0,0.0
4,4,109,total,0.0,0.0
4,4,110,total,0.0,0.0
4,4,111,total,0.0,0.0
4,4,112,total,0.0,0.0
4,4,113,total,0.0,0.0
4,4,114,total,0.0,0.0
4,4,115,total,0.0,0.0
4,4,116,total,0.0,0.0
4,4,117,total,0.0,0.0
4,4,118,total,0.0,0.0
4,4,119,total,0.0,0.0
4,4,120,total,0.0,0.0
4,4,122,total,0.0,0.0
4,4,122,total,0.0,0.0
4,4,123,total,0.0,0.0
4,4,125,total,0.0,0.0
4,4,125,total,0.0,0.0
4,4,126,total,0.0,0.0
4,4,127,total,0.0,0.0
4,4,128,total,0.0,0.0
4,4,129,total,0.0,0.0
4,4,131,total,0.0,0.0
4,4,131,total,0.0,0.0
4,4,133,total,0.0,0.0
4,4,133,total,0.0,0.0
4,4,134,total,0.0,0.0
4,4,135,total,0.0,0.0
4,4,136,total,0.0,0.0
4,4,137,total,0.0,0.0
4,4,138,total,0.0,0.0
4,4,139,total,0.0,0.0
4,4,141,total,0.0,0.0
4,4,141,total,0.0,0.0
4,4,142,total,0.0,0.0
4,4,144,total,0.0,0.0
4,4,144,total,0.0,0.0
4,4,145,total,0.0,0.0
4,4,146,total,0.0,0.0
4,4,147,total,0.0,0.0
4,4,148,total,0.0,0.0
4,4,150,total,0.0,0.0
4,4,150,total,0.0,0.0
4,4,151,total,0.0,0.0
4,4,153,total,0.0,0.0
4,4,153,total,0.0,0.0
4,4,154,total,0.0,0.0
4,4,156,total,0.0,0.0
4,4,156,total,0.0,0.0
4,4,158,total,0.0,0.0
4,4,159,total,0.0,0.0
4,4,160,total,0.0,0.0
4,4,161,total,0.0,0.0
4,4,162,total,0.0,0.0
4,4,163,total,0.0,0.0
4,4,164,total,0.0,0.0
4,4,165,total,0.0,0.0
4,4,166,total,0.0,0.0
4,4,167,total,0.0,0.0
4,4,168,total,0.0,0.0
4,4,169,total,0.0,0.0
4,4,170,total,0.0,0.0
4,4,171,total,0.0,0.0
4,4,172,total,0.0,0.0
4,4,172,total,0.0,0.0
4,5,1,total,0.0,0.0
4,5,2,total,0.0,0.0
4,5,3,total,0.0,0.0
4,5,4,total,4.66171450148072e-05,1.1654582369964365e-05
